Rank,Player,ID,Hands,Profit,BuyIn,Tips,ClubCode,GameCode,DateStarted,DateEnded,GameType,BigBlind,TotalTips
1,Bob Barker,#2B6RC,334,218.77,724.00,113.59,#m4tml,46608995,2024-02-21 20:56,2024-02-22 04:05,PLO6(H/L),1.00,555.57
2,Rocky Cole,#SG13Y,351,174.96,400.00,86.85,,,,,,,
3,Solo,#DL3JT,115,170.67,200.00,22.50,,,,,,,
4,GestalT,#MQASC,111,139.80,200.00,11.33,,,,,,,
5,Krispy Krunch,#VYHCE,168,53.13,200.00,76.53,,,,,,,
6,AlwaysHAVEIT,#2ATQN,29,46.88,200.00,6.02,,,,,,,
7,GOING NUTZ,#DK5JN,112,8.49,100.00,26.56,,,,,,,
8,😱 Mayhem 😨,#98CCK,12,-9.00,100.00,0.38,,,,,,,
9,Dragonkillerz,#XXLYE,170,-50.77,400.00,31.38,,,,,,,
10,Bjorn,#ZX8CX,87,-83.24,500.00,23.57,,,,,,,
11,Double cross,#SZQMT,8,-100.00,100.00,6.57,,,,,,,
12,RED BULL,#P62WP,80,-139.41,300.00,10.80,,,,,,,
13,Prokopton,#RW7NV,340,-985.85,1336.00,139.49,,,,,,,
